F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,,,,,,,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B
31000,0.00119119,31000,0.00119334,31000,0.00118732,31000,0.0011892,31000,0.00119976,31000,0.00119732,31000,0.00119953,31000,0.00120681,31000,0.00120981,31000,0.00120932,31000,0.00120478,31000,0.00121178,31000,0.00121358,31000,0.00120362,31000,0.00120609,31000,0.0012057,31000,0.00120413,31000,0.00120623,31000,0.00121575,31000,0.00121132,31000,0.00121827,31000,0.00121071,31000,0.0012235,31000,0.0012208,31000,0.00121522,31000,0.00122154,31000,0.0012208,31000,0.00121862,31000,0.00121715,31000,0.00121868,31000,0.00122265,31000,0.00122265,31000,0.00122961,31000,0.00122964,31000,0.00122964,31000,0.00122397,31000,0.00122851,31000,0.00123391,31000,0.00122129,31000,0.00125962,31000,0.00123973,31000,0.001235,31000,0.00122956,31000,0.00122345,31000,0.00124064
31100,0.00119497,31100,0.00119712,31100,0.00119119,31100,0.00119284,31100,0.00120347,31100,0.00120113,31100,0.0012034,31100,0.0012107,31100,0.00121369,31100,0.00121328,31100,0.00120852,31100,0.00121573,31100,0.00121743,31100,0.00120753,31100,0.00120994,31100,0.00120958,31100,0.00120798,31100,0.00121011,31100,0.00121971,31100,0.00121521,31100,0.00122218,31100,0.00121459,31100,0.00122742,31100,0.00122462,31100,0.00121909,31100,0.00122551,31100,0.00122467,31100,0.00122251,31100,0.00122098,31100,0.00122257,31100,0.00122658,31100,0.00122658,31100,0.00123356,31100,0.00123366,31100,0.00123366,31100,0.00122787,31100,0.00123225,31100,0.00123779,31100,0.0012251,31100,0.00126364,31100,0.00124363,31100,0.00123895,31100,0.00123356,31100,0.00122731,31100,0.00124463
31200,0.00119879,31200,0.00120089,31200,0.00119494,31200,0.00119659,31200,0.00120738,31200,0.00120501,31200,0.00120729,31200,0.00121463,31200,0.00121748,31200,0.00121714,31200,0.00121246,31200,0.00121957,31200,0.00122138,31200,0.00121139,31200,0.00121384,31200,0.00121345,31200,0.00121184,31200,0.00121397,31200,0.00122349,31200,0.00121915,31200,0.00122597,31200,0.00121848,31200,0.00123137,31200,0.00122857,31200,0.00122298,31200,0.0012294,31200,0.00122866,31200,0.00122645,31200,0.00122489,31200,0.00122643,31200,0.00123048,31200,0.00123048,31200,0.00123744,31200,0.00123748,31200,0.00123748,31200,0.00123171,31200,0.00123608,31200,0.00124167,31200,0.00122901,31200,0.00126761,31200,0.00124761,31200,0.00124288,31200,0.00123746,31200,0.00123128,31200,0.00124853
31300,0.00120264,31300,0.00120465,31300,0.00119876,31300,0.00120046,31300,0.00121131,31300,0.00120881,31300,0.0012112,31300,0.00121848,31300,0.00122148,31300,0.00122099,31300,0.00121625,31300,0.00122354,31300,0.00122529,31300,0.00121525,31300,0.00121779,31300,0.00121731,31300,0.00121573,31300,0.00121798,31300,0.00122748,31300,0.00122299,31300,0.00122984,31300,0.00122231,31300,0.00123527,31300,0.00123244,31300,0.00122686,31300,0.00123323,31300,0.00123257,31300,0.00123029,31300,0.00122883,31300,0.00123039,31300,0.00123435,31300,0.00123435,31300,0.00124132,31300,0.00124144,31300,0.00124144,31300,0.00123557,31300,0.00124003,31300,0.00124563,31300,0.00123288,31300,0.00127161,31300,0.00125157,31300,0.00124681,31300,0.00124141,31300,0.00123521,31300,0.0012525
31400,0.00120656,31400,0.00120854,31400,0.00120257,31400,0.00120425,31400,0.00121508,31400,0.00121273,31400,0.00121498,31400,0.00122236,31400,0.00122536,31400,0.00122486,31400,0.00122022,31400,0.00122745,31400,0.00122923,31400,0.00121913,31400,0.00122172,31400,0.00122126,31400,0.00121966,31400,0.00122187,31400,0.00123136,31400,0.00122686,31400,0.00123371,31400,0.00122623,31400,0.00123926,31400,0.00123643,31400,0.00123076,31400,0.00123719,31400,0.00123642,31400,0.00123418,31400,0.0012327,31400,0.00123423,31400,0.00123823,31400,0.00123823,31400,0.0012453,31400,0.0012453,31400,0.0012453,31400,0.00123939,31400,0.00124387,31400,0.00124953,31400,0.0012368,31400,0.00127559,31400,0.00125553,31400,0.00125082,31400,0.00124537,31400,0.00123902,31400,0.00125644
31500,0.00121039,31500,0.0012124,31500,0.00120634,31500,0.00120815,31500,0.00121905,31500,0.00121661,31500,0.0012189,31500,0.00122633,31500,0.00122915,31500,0.0012288,31500,0.00122423,31500,0.00123131,31500,0.00123312,31500,0.00122303,31500,0.00122555,31500,0.00122512,31500,0.00122352,31500,0.00122578,31500,0.00123532,31500,0.00123081,31500,0.00123757,31500,0.00123014,31500,0.00124309,31500,0.00124037,31500,0.00123467,31500,0.0012411,31500,0.00124032,31500,0.0012381,31500,0.00123664,31500,0.00123816,31500,0.00124215,31500,0.00124215,31500,0.00124918,31500,0.00124928,31500,0.00124928,31500,0.00124332,31500,0.00124792,31500,0.00125353,31500,0.0012407,31500,0.00127956,31500,0.00125946,31500,0.00125477,31500,0.00124926,31500,0.00124289,31500,0.00126039
31600,0.00121427,31600,0.00121624,31600,0.00121001,31600,0.00121195,31600,0.00122294,31600,0.00122052,31600,0.00122281,31600,0.00123021,31600,0.00123306,31600,0.00123265,31600,0.00122789,31600,0.00123524,31600,0.00123708,31600,0.00122688,31600,0.00122937,31600,0.00122897,31600,0.00122732,31600,0.00122964,31600,0.00123922,31600,0.00123465,31600,0.00124151,31600,0.001234,31600,0.00124709,31600,0.00124423,31600,0.00123857,31600,0.00124498,31600,0.00124418,31600,0.00124202,31600,0.00124048,31600,0.00124212,31600,0.00124598,31600,0.00124598,31600,0.0012531,31600,0.00125318,31600,0.00125318,31600,0.00124726,31600,0.00125148,31600,0.00125734,31600,0.00124466,31600,0.00128363,31600,0.00126343,31600,0.00125865,31600,0.00125318,31600,0.00124688,31600,0.0012643
31700,0.00121809,31700,0.00122008,31700,0.00121368,31700,0.00121585,31700,0.00122686,31700,0.00122438,31700,0.00122666,31700,0.00123403,31700,0.00123697,31700,0.00123649,31700,0.00123184,31700,0.00123912,31700,0.00124096,31700,0.00123078,31700,0.00123332,31700,0.00123289,31700,0.00123124,31700,0.00123352,31700,0.0012431,31700,0.00123862,31700,0.00124537,31700,0.00123791,31700,0.00125099,31700,0.00124818,31700,0.00124244,31700,0.00124891,31700,0.00124812,31700,0.0012459,31700,0.00124445,31700,0.001246,31700,0.00125002,31700,0.00125002,31700,0.00125702,31700,0.00125713,31700,0.00125713,31700,0.0012511,31700,0.00125559,31700,0.00126135,31700,0.00124855,31700,0.00128757,31700,0.00126735,31700,0.00126266,31700,0.00125707,31700,0.00125069,31700,0.00126832
31800,0.001222,31800,0.00122389,31800,0.0012174,31800,0.00121965,31800,0.00123082,31800,0.0012283,31800,0.00123062,31800,0.00123787,31800,0.00124067,31800,0.00124046,31800,0.00123574,31800,0.00124305,31800,0.0012449,31800,0.00123473,31800,0.00123716,31800,0.00123676,31800,0.00123513,31800,0.00123737,31800,0.00124708,31800,0.00124251,31800,0.00124929,31800,0.00124181,31800,0.00125491,31800,0.00125208,31800,0.0012464,31800,0.00125277,31800,0.00125199,31800,0.00124982,31800,0.00124827,31800,0.00124988,31800,0.00125385,31800,0.00125385,31800,0.001261,31800,0.00126107,31800,0.00126107,31800,0.00125505,31800,0.00125977,31800,0.00126528,31800,0.00125238,31800,0.00129157,31800,0.00127129,31800,0.00126662,31800,0.00126105,31800,0.00125468,31800,0.00127232
31900,0.00122589,31900,0.00122778,31900,0.00122115,31900,0.00122371,31900,0.00123439,31900,0.00123209,31900,0.00123447,31900,0.00124173,31900,0.00124461,31900,0.00124428,31900,0.00123958,31900,0.00124702,31900,0.00124874,31900,0.00123857,31900,0.00124105,31900,0.00124065,31900,0.00123907,31900,0.00124129,31900,0.00125094,31900,0.00124639,31900,0.00125315,31900,0.00124565,31900,0.00125889,31900,0.001256,31900,0.00125019,31900,0.00125676,31900,0.0012559,31900,0.00125366,31900,0.00125216,31900,0.0012538,31900,0.0012578,31900,0.0012578,31900,0.00126489,31900,0.001265,31900,0.001265,31900,0.00125893,31900,0.00126345,31900,0.00126926,31900,0.00125637,31900,0.00129553,31900,0.00127534,31900,0.0012705,31900,0.00126498,31900,0.00125861,31900,0.0012763
